#OTU ID	edg_S1	edg_S2	edg_S3	edg_S4	edg_S5	edg_S6	edg_S8
OTU_edgar_20160602_first_200_1.5_24	2.136e+04	1	0	0	0	0	0
OTU_edgar_20160602_first_200_1.5_20	404	1	0	2	0	0	0
OTU_edgar_20160602_first_200_1.5_23	10	11	0	6	0	1	0
OTU_edgar_20160602_first_200_1.5_2	520	4.12e+04	1	8974	0	4301	0
OTU_edgar_20160602_first_200_1.5_17	124	2	0	3	0	0	0
OTU_edgar_20160602_first_200_1.5_1	38	9	4.183e+04	2	4.202e+04	0	1
OTU_edgar_20160602_first_200_1.5_18	23	5	0	0	0	1	0
OTU_edgar_20160602_first_200_1.5_30	2	0	993	0	706	0	0
OTU_edgar_20160602_first_200_1.5_13	4	346	0	68	0	43	0
OTU_edgar_20160602_first_200_1.5_12	1	0	108	0	158	0	0
OTU_edgar_20160602_first_200_1.5_3	0	44	0	1.522e+04	2	3.348e+04	0
OTU_edgar_20160602_first_200_1.5_32	0	7	0	0	0	0	0
OTU_edgar_20160602_first_200_1.5_10	0	0	24	0	28	0	0
OTU_edgar_20160602_first_200_1.5_19	0	0	5	0	12	0	0
OTU_edgar_20160602_first_200_1.5_9	0	0	75	0	61	0	0
OTU_edgar_20160602_first_200_1.5_27	0	0	31	0	33	0	0
OTU_edgar_20160602_first_200_1.5_26	0	0	10	0	5	0	0
OTU_edgar_20160602_first_200_1.5_22	0	0	7	0	3	0	0
OTU_edgar_20160602_first_200_1.5_25	0	0	9	1	0	0	0
OTU_edgar_20160602_first_200_1.5_15	0	0	9	0	13	0	0
OTU_edgar_20160602_first_200_1.5_31	0	0	3	0	4	0	0
OTU_edgar_20160602_first_200_1.5_16	0	0	5	0	3	0	0
OTU_edgar_20160602_first_200_1.5_5	0	0	0	6209	0	0	0
OTU_edgar_20160602_first_200_1.5_7	0	0	0	393	0	821	0
OTU_edgar_20160602_first_200_1.5_4	0	0	0	132	0	218	0
OTU_edgar_20160602_first_200_1.5_11	0	0	0	11	0	27	0
OTU_edgar_20160602_first_200_1.5_8	0	0	0	12	0	16	0
OTU_edgar_20160602_first_200_1.5_28	0	0	0	20	0	33	0
OTU_edgar_20160602_first_200_1.5_14	0	0	0	8	0	0	0
OTU_edgar_20160602_first_200_1.5_6	0	0	0	47	0	115	0
OTU_edgar_20160602_first_200_1.5_29	0	0	0	2	0	0	0
OTU_edgar_20160602_first_200_1.5_21	0	0	0	1	0	3	0
