date	action	cat	module
2016-06-29	i	s	SCons/2.5.0
2016-06-29	i	b	MetaBat/0.26.3
2016-06-27	i	b	LoFreq/2.1.2
2016-06-20	u	s	sparsehash/2.0.3
2016-06-20	i	s	sparsehash/2.0.2
2016-06-19	u	s	doxygen/1.8.11
2016-06-19	u	b	ViennaRNA/2.2.5
2016-06-19	i	s	binutils/2.26
2016-06-19	i	b	CleaveLand4/4.3
2016-06-18	u	b	kallisto/0.43.0
2016-06-16	i	s	vim/7.4-1941
2016-06-16	i	s	R_packages/3.3.0
2016-06-16	i	b	blobtools/0.9.17
2016-06-16	i	b	DWGSIM/0.1.11-6e9a361
2016-06-15	i	b	minced/0.2.0
2016-06-14	i	b	tbl2asn/24.9
2016-06-14	i	b	ngsF-HMM/20160614
2016-06-13	u	s	boost/1.61.0_gcc5.3.0
2016-06-11	i	b	BAM-matcher/20160611
2016-06-10	u	s	gcc/5.4.0
2016-06-09	u	b	canu/1.3
2016-06-07	u	b	GATK/3.6
2016-06-05	i	b	eems/20160605
2016-06-04	u	b	MultiQC/0.6 on irma
2016-06-03	u	b	Bismark/0.16.1
2016-06-02	i	b	rnaQUAST
2016-06-02	i	b	bridger/2014-12-01
2016-06-02	i	b	barrnap/0.6
2016-06-02	i	b	Infernal
2016-05-31	u	b	spades/3.8.0
2016-05-31	i	b	ngsutils/0.5.9
2016-05-31	i	b	mrFAST/2.6.1.0
2016-05-31	i	b	mrCaNaVeR/0.51
2016-05-31	i	b	Bandage/0.8.0
2016-05-30	u	s	perl/5.24.0
2016-05-30	u	s	perl/5.22.2
2016-05-29	u	b	iGenomes updated
2016-05-28	u	s	java/sun_jdk1.8.0_92
2016-05-25	u	b	Roary/3.6.2
2016-05-25	u	b	KAT/2.0.8
2016-05-24	u	s	gnuparallel/20150522
2016-05-24	u	b	spades/3.7.1
2016-05-24	u	b	cutadapt/1.9.1
2016-05-24	u	b	TrimGalore/0.4.1
2016-05-24	u	b	FastQC/0.4.11
2016-05-24	i	s	GNUcoreutils/8.25
2016-05-21	i	s	Poppler/0.43.0
2016-05-21	i	o	libgeotiff/1.4.1
2016-05-21	i	o	NetCDF/4.4.0
2016-05-20	i	s	FreeType/2.6
2016-05-20	i	o	PROJ.4/4.9.2
2016-05-20	i	o	GDAL/2.1.0
2016-05-20	i	o	FYBA/4.1.1
2016-05-19	u	s	R/3.3.0
2016-05-19	i	s	zlib/1.2.8
2016-05-19	i	s	xz/5.2.2
2016-05-19	i	s	pcra/8.38
2016-05-19	i	s	bzip2/1.0.6
2016-05-16	u	s	Matlab/r2016a
2016-05-16	u	b	gmap-gsnap/2016-05-01
2016-05-16	u	b	Stacks/1.40
2016-05-16	u	b	Blast databases
2016-05-16	i	b	micca/1.4.0
2016-05-16	i	b	Pilon/1.17
2016-05-16	i	b	AdapterRemoval/2.1.7
2016-04-29	u	s	gcc/6.1.0
2016-04-29	u	s	OpenMPI/1.10.2 for gcc/6.1.0
2016-04-29	u	b	MultiQC/0.6
2016-04-28	u	s	pgi/16.4
2016-04-27	u	o	GSL/2.1
2016-04-27	i	b	Piper for irma
2016-04-25	i	b	VarDictJava/1.4.5
2016-04-24	i	b	Schmutzi
2016-04-22	i	b	Platypus/0.8.1
2016-04-21	u	b	MEGAN 5
